Trial,Accuracy,Duration,Params,BestAccuracy
35,0.7866622972308701,237.79088497161865,"{'n_d': 56, 'n_a': 11, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.3, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
36,0.7548336883499918,314.773264169693,"{'n_d': 57, 'n_a': 11, 'n_steps': 3, 'gamma': 1.9, 'n_shared': 4, 'momentum': 0.29000000000000004, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.7889152875634934
37,0.48902179256103556,246.6481111049652,"{'n_d': 62, 'n_a': 12, 'n_steps': 3, 'gamma': 1.5, 'n_shared': 5, 'momentum': 0.31, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 512}",0.7889152875634934
38,0.7757250532524987,286.8101296424866,"{'n_d': 55, 'n_a': 14, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 4, 'momentum': 0.24000000000000002, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
39,0.746722923152548,1013.1668212413788,"{'n_d': 39, 'n_a': 13, 'n_steps': 8, 'gamma': 1.7000000000000002, 'n_shared': 3, 'momentum': 0.19, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.7889152875634934
40,0.2007619203670326,254.60719633102417,"{'n_d': 36, 'n_a': 11, 'n_steps': 4, 'gamma': 1.2, 'n_shared': 5, 'momentum': 0.21000000000000002, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 1024}",0.7889152875634934
41,0.7656070784859905,276.91249656677246,"{'n_d': 47, 'n_a': 12, 'n_steps': 4, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.38, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
42,0.7803129608389316,505.34957814216614,"{'n_d': 53, 'n_a': 11, 'n_steps': 5, 'gamma': 1.9, 'n_shared': 5, 'momentum': 0.34, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
43,0.7884646894969687,333.92771100997925,"{'n_d': 44, 'n_a': 10, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.3, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
44,0.7536047845321973,312.00230860710144,"{'n_d': 42, 'n_a': 11, 'n_steps': 3, 'gamma': 1.7000000000000002, 'n_shared': 4, 'momentum': 0.3, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.7889152875634934
45,0.7794527281664755,108.87701892852783,"{'n_d': 45, 'n_a': 10, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 5, 'momentum': 0.14, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 1024}",0.7889152875634934
46,0.7839996722923153,200.1889293193817,"{'n_d': 37, 'n_a': 9, 'n_steps': 3, 'gamma': 1.9, 'n_shared': 2, 'momentum': 0.28, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
47,0.7624119285597247,173.3197238445282,"{'n_d': 49, 'n_a': 12, 'n_steps': 4, 'gamma': 1.7000000000000002, 'n_shared': 5, 'momentum': 0.32, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
48,0.7492626577093233,666.4225454330444,"{'n_d': 44, 'n_a': 10, 'n_steps': 3, 'gamma': 1.6, 'n_shared': 4, 'momentum': 0.22, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 128}",0.7889152875634934
49,0.043298377846960515,337.79460287094116,"{'n_d': 34, 'n_a': 13, 'n_steps': 9, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.38, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 512}",0.7889152875634934
50,0.7705636572177618,280.0257318019867,"{'n_d': 64, 'n_a': 11, 'n_steps': 6, 'gamma': 1.0, 'n_shared': 5, 'momentum': 0.27, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
51,0.7561035556283795,217.5870590209961,"{'n_d': 48, 'n_a': 10, 'n_steps': 4, 'gamma': 1.5, 'n_shared': 5, 'momentum': 0.35000000000000003, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
52,0.7518843191872849,157.8865909576416,"{'n_d': 54, 'n_a': 10, 'n_steps': 4, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.36000000000000004, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
53,0.7863345895461249,214.53931832313538,"{'n_d': 51, 'n_a': 11, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.31, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
54,0.7790840570211371,362.68587470054626,"{'n_d': 41, 'n_a': 9, 'n_steps': 5, 'gamma': 1.9, 'n_shared': 5, 'momentum': 0.39, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
55,0.7697034245453056,157.3233048915863,"{'n_d': 59, 'n_a': 10, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 4, 'momentum': 0.34, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
56,0.7683516303457316,203.77061653137207,"{'n_d': 47, 'n_a': 12, 'n_steps': 4, 'gamma': 1.7000000000000002, 'n_shared': 5, 'momentum': 0.37, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
57,0.798336883499918,372.72787714004517,"{'n_d': 51, 'n_a': 11, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 5, 'momentum': 0.33, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
58,0.7484433884974603,421.7137610912323,"{'n_d': 52, 'n_a': 11, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 4, 'momentum': 0.3, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.798336883499918
59,0.7674094707520891,84.95198154449463,"{'n_d': 56, 'n_a': 11, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 5, 'momentum': 0.33, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 1024}",0.798336883499918
60,0.760609536293626,87.21797108650208,"{'n_d': 50, 'n_a': 12, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 2, 'momentum': 0.4, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
61,0.7472554481402589,188.09967231750488,"{'n_d': 43, 'n_a': 16, 'n_steps': 4, 'gamma': 1.9, 'n_shared': 5, 'momentum': 0.35000000000000003, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
62,0.7558987383254138,233.14973521232605,"{'n_d': 46, 'n_a': 10, 'n_steps': 4, 'gamma': 1.9, 'n_shared': 5, 'momentum': 0.32, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
63,0.7668769457643781,140.52129244804382,"{'n_d': 48, 'n_a': 11, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.38, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
64,0.7640504669834508,175.40392589569092,"{'n_d': 51, 'n_a': 9, 'n_steps': 4, 'gamma': 1.3, 'n_shared': 5, 'momentum': 0.36000000000000004, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
65,0.7284122562674095,604.4825713634491,"{'n_d': 19, 'n_a': 10, 'n_steps': 3, 'gamma': 1.5, 'n_shared': 5, 'momentum': 0.34, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 128}",0.798336883499918
66,0.11826151073242668,106.54819989204407,"{'n_d': 45, 'n_a': 11, 'n_steps': 5, 'gamma': 1.8, 'n_shared': 3, 'momentum': 0.26, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 512}",0.798336883499918
67,0.780927412747829,243.89122200012207,"{'n_d': 40, 'n_a': 10, 'n_steps': 3, 'gamma': 1.9, 'n_shared': 4, 'momentum': 0.39, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.798336883499918
